orgnr,name,org_form,status,freshness_status,industry_code,industry_description,employee_count,ceo_name,board_chair,revenue,currency,latest_financial_year,last_verified_at
937731167,01 CAPITAL AS,AS,Active / Operating,CURRENT,00.000,Uoppgitt,,Julian Sebastian Selnes,Julian Sebastian Selnes,,NOK,,2026-09-14T10:08:09.296122+00:00
918912177,3D-MODELLERING AS,AS,Active / Operating,CURRENT,71.129,Annen teknisk konsulentvirksomhet,,,,,NOK,,2026-09-14T10:08:28.556283+00:00
899315812,2N MONTASJE AS,AS,Active / Operating,CURRENT,43.340,Maler- og glassarbeid,,,,,NOK,,2026-09-14T10:08:24.627065+00:00
934144112,2ND FLOOR STUDIO AS,AS,Active / Operating,CURRENT,96.210,Frisering og barbering,,,,,NOK,,2026-09-14T10:08:24.628091+00:00
922370788,0102 MANAGEMENT AS,AS,Active / Operating,CURRENT,74.990,"All annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted",,Erlend Buflaten,Erlend Buflaten,481807.0,NOK,2025,2026-09-14T10:08:09.299021+00:00
821575532,1KONTOR AS,AS,Active / Operating,CURRENT,70.200,Bedriftsrådgivning og annen administrativ rådgivning,,,,,NOK,,2026-09-14T10:08:20.384345+00:00
929438728,0177 OSLO AS,AS,Active / Operating,CURRENT,60.390,Annen virksomhet for distribuering av innhold,,Hampus Eriksson,Hampus Eriksson,940689.0,NOK,2024,2026-09-14T10:08:09.590347+00:00
990818916,3D-PROSJEKT AS,AS,Active / Operating,CURRENT,68.120,Utvikling og salg av byggeprosjekter,,,,,NOK,,2026-09-14T10:08:28.556283+00:00
913942914,1KRM AS,AS,Active / Operating,CURRENT,87.999,Andre botilbud innenfor sosiale tjenester ikke nevnt annet sted,,,,,NOK,,2026-09-14T10:08:20.384345+00:00
936727522,3DADS STUDIOS AS,AS,Active / Operating,CURRENT,62.100,Dataprogrammeringstjenester,,,,,NOK,,2026-09-14T10:08:28.556283+00:00
914041244,1LIFEAPP AS,AS,Active / Operating,CURRENT,62.100,Dataprogrammeringstjenester,,,,,NOK,,2026-09-14T10:08:20.384899+00:00
928882128,2ND HOME AS,AS,Active / Operating,CURRENT,68.200,Utleie av egen eller leid fast eiendom,,,,,NOK,,2026-09-14T10:08:24.628091+00:00
916147430,3DCLIMB AS,AS,Active / Operating,CURRENT,74.110,"Industri-, produkt- og motedesignvirksomhet",,,,,NOK,,2026-09-14T10:08:28.556283+00:00
918391983,1OFFSHORE AS,AS,Active / Operating,CURRENT,71.129,Annen teknisk konsulentvirksomhet,,,,,NOK,,2026-09-14T10:08:20.384899+00:00
922376018,02 EIENDOM AS,AS,Active / Operating,CURRENT,68.120,Utvikling og salg av byggeprosjekter,,,Kåre Johannes Lunde,355709.0,NOK,2025,2026-09-14T10:08:09.593015+00:00
928543404,2ND NORGE AS,AS,In Liquidation,CURRENT,47.120,Detaljhandel med bredt vareutvalg ellers,,,,,NOK,,2026-09-14T10:08:24.629066+00:00
933204502,1PERSON AS,AS,Active / Operating,CURRENT,56.210,Catering for arrangementer,,,,,NOK,,2026-09-14T10:08:20.386006+00:00
987156384,3DE ARKITEKTUR & DESIGN AS,AS,Active / Operating,CURRENT,71.110,Arkitektvirksomhet,,,,,NOK,,2026-09-14T10:08:28.556283+00:00
935154367,0243 HOLDING AS,AS,Active / Operating,CURRENT,86.210,Allmennlegetjenester,,,Joakim Bernardo Santiago Dahlgren,0.0,NOK,2025,2026-09-14T10:08:09.307728+00:00
930222038,2NDBEAUTY.NO AS,AS,Active / Operating,CURRENT,47.750,Detaljhandel med kosmetikk og toalettartikler,,,,,NOK,,2026-09-14T10:08:24.629066+00:00
936959709,3DEGREES (NORWAY) AS,AS,Active / Operating,CURRENT,70.200,Bedriftsrådgivning og annen administrativ rådgivning,,,,,NOK,,2026-09-14T10:08:28.556283+00:00
827855022,02HENNING AS,AS,Active / Operating,CURRENT,00.000,Uoppgitt,,,Henning Robberstad,,NOK,2025,2026-09-14T10:08:09.593015+00:00
935460522,2OM HOLDING AS,AS,Active / Operating,CURRENT,00.000,Uoppgitt,,,,,NOK,,2026-09-14T10:08:24.629066+00:00
918604510,3DELING NORWAY AS,AS,Active / Operating,CURRENT,71.129,Annen teknisk konsulentvirksomhet,,,,,NOK,,2026-09-14T10:08:28.556283+00:00
926136860,030 SOFTWARE AS,AS,Active / Operating,CURRENT,62.100,Dataprogrammeringstjenester,,,Martin Bryhni,0.0,NOK,2025,2026-09-14T10:08:09.309728+00:00
935395143,1RM HOLDING AS,AS,Active / Operating,CURRENT,00.000,Uoppgitt,,,,,NOK,,2026-09-14T10:08:20.386006+00:00
938422486,1S AUTO AS,AS,Active / Operating,CURRENT,,,,,,,NOK,,2026-09-14T10:08:20.386006+00:00
926433830,2P-HOLDING AS,AS,Active / Operating,CURRENT,23.110,Produksjon av planglass,,,,,NOK,,2026-09-14T10:08:24.629066+00:00
932605023,04 GSE SANDVIK AS,AS,Active / Operating,CURRENT,68.200,Utleie av egen eller leid fast eiendom,,,Karl Andreas Sandvik,,NOK,2025,2026-09-14T10:08:09.594029+00:00
935567645,1SB JERNBANEKAFEEN AS,AS,In Bankruptcy,CURRENT,56.110,Drift av restauranter,,,,,NOK,,2026-09-14T10:08:20.387021+00:00
928823970,3DFRACTAL AS,AS,Active / Operating,CURRENT,62.100,Dataprogrammeringstjenester,,,,,NOK,,2026-09-14T10:08:28.556283+00:00
916346913,"3DIGIT, MEASURE & POSITION AS",AS,Active / Operating,CURRENT,71.129,Annen teknisk konsulentvirksomhet,,,,,NOK,,2026-09-14T10:08:28.557283+00:00
937467206,2PARTNER AS,AS,Active / Operating,CURRENT,43.320,Snekkerarbeid,,,,,NOK,,2026-09-14T10:08:24.629066+00:00
932133563,04 HOLDING AS,AS,Active / Operating,CURRENT,00.000,Uoppgitt,,,Daniel Hansen Asmare,,NOK,2025,2026-09-14T10:08:09.908798+00:00
919438754,2PER AS,AS,Active / Operating,CURRENT,68.200,Utleie av egen eller leid fast eiendom,,,,,NOK,,2026-09-14T10:08:24.629066+00:00
927874326,3DINSUL AS,AS,Active / Operating,CURRENT,71.129,Annen teknisk konsulentvirksomhet,,,,,NOK,,2026-09-14T10:08:28.557283+00:00
929751353,04 INVEST AS,AS,Active / Operating,CURRENT,77.390,Utleie og leasing av andre maskiner og annet utstyr og materiell ikke nevnt annet sted,,Daniel Hansen Asmare,Daniel Hansen Asmare,127000.0,NOK,2025,2026-09-14T10:08:09.909799+00:00
919701226,0495 GREFSEN AS,AS,Active / Operating,CURRENT,68.120,Utvikling og salg av byggeprosjekter,,Thomas Nysæther,Bjørn Erik Dørstad,0.0,NOK,2025,2026-09-14T10:08:09.909799+00:00
830005412,1ST ENERGY AS,AS,Active / Operating,CURRENT,71.129,Annen teknisk konsulentvirksomhet,,,,,NOK,,2026-09-14T10:08:20.387021+00:00
998375509,2PLAN BYGG AS,AS,Active / Operating,CURRENT,41.000,Oppføring av bygninger,,,,,NOK,,2026-09-14T10:08:24.629066+00:00
917847266,3DM SIMTEK AS,AS,Active / Operating,CURRENT,71.129,Annen teknisk konsulentvirksomhet,,,,,NOK,,2026-09-14T10:08:28.557283+00:00
930468193,1STPOV AS,AS,Active / Operating,CURRENT,74.990,"All annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted",,,,,NOK,,2026-09-14T10:08:20.387021+00:00
951240435,2R DATA OG REGNSKAP AS,AS,Active / Operating,CURRENT,69.202,Regnskapsføring og bokføring,,,,,NOK,,2026-09-14T10:08:24.629066+00:00
933373142,05060 TAXI AS,AS,Active / Operating,CURRENT,49.330,Passasjertransport på forespørsel utført av fører med kjøretøy,,Jan Erik Jahnsen,Asif Ullah Khalil,0.0,NOK,2025,2026-09-14T10:08:09.910800+00:00
921472218,3DMAKE AS,AS,Active / Operating,CURRENT,62.100,Dataprogrammeringstjenester,,,,,NOK,,2026-09-14T10:08:28.557283+00:00
999006434,1T TØMRER AS,AS,Active / Operating,CURRENT,41.000,Oppføring av bygninger,,,,,NOK,,2026-09-14T10:08:20.387021+00:00
932969068,2R EIENDOM AS,AS,Active / Operating,CURRENT,00.000,Uoppgitt,,,,,NOK,,2026-09-14T10:08:24.629066+00:00
932882329,3DMOD AS,AS,Active / Operating,CURRENT,74.110,"Industri-, produkt- og motedesignvirksomhet",,,,,NOK,,2026-09-14T10:08:28.557283+00:00
929403819,06 BOYS AS,AS,Active / Operating,CURRENT,90.201,Utøvende kunstnerisk virksomhet og underholdningsvirksomhet innenfor musikk,,Erlend Kåre Skeid,Håvard Søgnen Bjerkan,907071.0,NOK,2025,2026-09-14T10:08:10.910814+00:00
923050981,1UP HOLDING AS,AS,Active / Operating,CURRENT,00.000,Uoppgitt,,,,,NOK,,2026-09-14T10:08:20.388018+00:00
926919156,2R INVEST AS,AS,Active / Operating,CURRENT,00.000,Uoppgitt,,,,,NOK,,2026-09-14T10:08:24.630066+00:00
933216969,1TIL2 AS,AS,Active / Operating,CURRENT,49.410,Godstransport på vei,,,,,NOK,,2026-09-14T10:08:20.388018+00:00
989255290,06230 INVEST AS,AS,Active / Operating,CURRENT,62.200,Konsulentvirksomhet tilknyttet informasjonsteknologi og forvaltning og drift av it-systemer,,Erik Olsson,Erik Olsson,0.0,NOK,2025,2026-09-14T10:08:10.910814+00:00
989778501,3DP MODELLING AS,AS,Active / Operating,CURRENT,74.990,"All annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted",,,,,NOK,,2026-09-14T10:08:28.557283+00:00
837408482,2R2K HOLDING AS,AS,Active / Operating,CURRENT,00.000,Uoppgitt,,,,,NOK,,2026-09-14T10:08:24.630066+00:00
935381800,3DPRINTA AS,AS,Active / Operating,CURRENT,47.780,Annen detaljhandel med andre nye varer,,,,,NOK,,2026-09-14T10:08:28.558282+00:00
927719118,1UP LIVE AS,AS,Active / Operating,CURRENT,59.110,"Produksjon av film, video og fjernsynsprogrammer",,,,,NOK,,2026-09-14T10:08:20.388018+00:00
832501832,3DPS AS,AS,Active / Operating,CURRENT,74.110,"Industri-, produkt- og motedesignvirksomhet",,,,,NOK,,2026-09-14T10:08:28.558282+00:00
